,Name of bill,Bill no.,Stage,Last activity,Select Committee
18,Electronic Monitoring of Offenders Legislation Bill  Bill - government,18-2,3,22 September 2016,Law and Order Committee
19,Evidence Amendment Bill  Bill - government,27-3,RA,22 September 2016,Justice and Electoral Committee
20,Corrections (Electronic Monitoring of Offenders) Amendment Bill  Bill - government,18-3A,RA,22 September 2016,
21,Parole (Electronic Monitoring of Offenders) Amendment Bill  Bill - government,18-3B,RA,22 September 2016,
22,Sentencing (Electronic Monitoring of Offenders) Amendment Bill  Bill - government,18-3C,RA,22 September 2016,
23,Public Works (Prohibition of Compulsory Acquisition of Māori Land) Amendment Bill  Bill - member's,111-1,W,21 September 2016,
24,Smoke-free Environments (Tobacco Standardised Packaging) Amendment Bill  Bill - government,186-2,RA,14 September 2016,Health Committee
25,Child Protection (Child Sex Offender Government Agency Registration) Bill  Bill - government,16-3,RA,14 September 2016,Social Services Committee
26,Housing Legislation Amendment Bill  Bill - government,167-1,RA,12 September 2016,
27,Shop Trading Hours Amendment Bill  Bill - government,81-2,RA,30 August 2016,Commerce Committee
28,Canterbury Property Boundaries and Related Matters Bill  Bill - government,82-3,RA,30 August 2016,Local Government and Environment Committee
29,Royal New Zealand Foundation of the Blind Act Repeal Bill  Bill - private,96-1,RA,30 August 2016,Health Committee
30,Minimum Wage (Contractor Remuneration) Amendment Bill  Bill - member's,31-1,3,24 August 2016,Transport and Industrial Relations Committee
31,Customs and Excise (Prohibition of Imports Made by Slave Labour) Amendment Bill  Bill - member's,110-1,W,24 August 2016,
32,Appropriation (2016/17 Estimates) Bill  Bill - government,139-1,RA,18 August 2016,
33,Imprest Supply (Second for 2016/17) Bill  Bill - government,150-1,RA,18 August 2016,
34,Oaths and Declarations (Endorsing the Principles of the Treaty of Waitangi) Amendment Bill  Bill - member's,91-1,W,10 August 2016,
35,Victims' Orders Against Violent Offenders Amendment Bill  Bill - government,71-2A,2,25 July 2016,Government Administration Committee
36,Kermadec Ocean Sanctuary Bill  Bill - government,120-2,2,22 July 2016,Local Government and Environment Committee
37,Social Security (Extension of Young Persons Services and Remedial Matters) Amendment Bill  Bill - government,35-3,RA,08 July 2016,Social Services Committee
38,Health (Protection) Amendment Bill  Bill - government,234-3,RA,05 July 2016,Health Committee
39,Hineuru Claims Settlement Bill  Bill - government,29-2,RA,05 July 2016,Māori Affairs Committee
40,Official Information (Parliamentary Under-Secretaries) Amendment Bill  Bill - member's,50-2,RA,05 July 2016,Government Administration Committee
41,Appropriation (2015/16 Supplementary Estimates) Bill  Bill - government,138-1,RA,30 June 2016,
42,Imprest Supply (First for 2016/17) Bill  Bill - government,145-1,RA,30 June 2016,
43,Parental Leave and Employment Protection (6 Months' Paid Leave) Amendment Bill  Bill - member's,51-2,W,29 June 2016,Government Administration Committee
44,Keep Kiwibank Bill  Bill - member's,57-1,W,29 June 2016,Finance and Expenditure Committee
45,Overseas Investment (Protection of New Zealand Homebuyers) Amendment Bill  Bill - member's,90-1,W,29 June 2016,
46,Coroners Amendment Bill  Bill - government,239-3,RA,22 June 2016,Justice and Electoral Committee
47,Riccarton Racecourse Bill  Bill - local,78-2,RA,22 June 2016,Local Government and Environment Committee
48,Riccarton Racecourse Development Enabling Bill  Bill - government,80-3,RA,22 June 2016,Local Government and Environment Committee
49,Human Rights Amendment Bill  Bill - government,346-3,RA,15 June 2016,Justice and Electoral Committee
0,Taxation (Transformation: First Phase Simplification and Other Measures) Bill  Bill - government,41-3,RA,03 June 2016,Finance and Expenditure Committee
1,Residential Tenancies Amendment Bill  Bill - government,109-3,RA,03 June 2016,Social Services Committee
2,Climate Change Response (Removal of Transitional Measure) Amendment Bill  Bill - government,136-1,RA,31 May 2016,
3,Customs and Excise (Tobacco Products—Budget Measures) Amendment Bill  Bill - government,137-1,RA,31 May 2016,
4,Public Collections and Solicitations (Disclosure of Payment) Bill  Bill - member's,38-1,2,25 May 2016,Social Services Committee
5,Building (Earthquake-prone Buildings) Amendment Bill  Bill - government,182-3,RA,16 May 2016,Local Government and Environment Committee
6,"Taxation (Residential Land Withholding Tax, GST on Online Services, and Student Loans) Bill  Bill - government",93-2,RA,16 May 2016,Finance and Expenditure Committee
7,New Zealand Public Health and Disability (Southern DHB) Elections Bill  Bill - government,106-1,RA,16 May 2016,Health Committee
8,"Births, Deaths, Marriages, and Relationships Registration (Preventing Name Change by Child Sex Offenders) Amendment Bill  Bill - member's",75-1,2,12 May 2016,Social Services Committee
9,Local Government (Auckland Council) Amendment Bill (No 3)  Bill - member's,190-2,RA,10 May 2016,Local Government and Environment Committee
10,Wellington Town Belt Bill  Bill - local,43-3,RA,10 May 2016,Local Government and Environment Committee
11,Appropriation (2014/15 Confirmation and Validation) Bill  Bill - government,117-1,RA,10 May 2016,
12,Te Pire mō Te Reo Māori / Māori Language Bill  Bill - government,228-3,RA,29 April 2016,Māori Affairs Committee
13,New Zealand Business Number Bill  Bill - government,15-2,RA,19 April 2016,Commerce Committee
14,Sale and Supply of Alcohol (Anzac Day Trading Hours for Licensed RNZRSA Clubs) Amendment Bill  Bill - member's,113-1,RA,18 April 2016,
15,Christian Churches New Zealand Property Trust Board Empowering Bill  Bill - private,52-1,RA,13 April 2016,Government Administration Committee
16,Greater Christchurch Regeneration Bill  Bill - government,79-3,RA,11 April 2016,Local Government and Environment Committee
17,Radio New Zealand Amendment Bill  Bill - government,30-2,RA,04 April 2016,Commerce Committee
18,Employment Standards Legislation Bill  Bill - government,53-2,3,18 March 2016,Transport and Industrial Relations Committee
19,Parental Leave and Employment Protection Amendment Bill  Bill - government,53-3A,RA,18 March 2016,
20,Employment Relations Amendment Bill (No 3)  Bill - government,53-3B,RA,18 March 2016,
21,Holidays Amendment Bill  Bill - government,53-3C,RA,18 March 2016,
22,Minimum Wage Amendment Bill  Bill - government,53-3D,RA,18 March 2016,
23,Wages Protection Amendment Bill  Bill - government,53-3E,RA,18 March 2016,
24,Environmental Protection Authority (Protection of Environment) Amendment Bill  Bill - member's,11-1,W,16 March 2016,Local Government and Environment Committee
25,Weathertight Homes Resolution Services Amendment Bill  Bill - government,6-3,RA,15 March 2016,Local Government and Environment Committee
26,Radiation Safety Bill  Bill - government,3-3,RA,07 March 2016,Health Committee
27,"Taxation (Annual Rates for 2015-16, Research and Development, and Remedial Matters) Bill  Bill - government",7-3,RA,26 February 2016,Finance and Expenditure Committee
28,Social Housing Reform (Transaction Mandate) Bill  Bill - government,42-2,3,26 February 2016,Social Services Committee
29,Home and Community Support (Payment for Travel Between Clients) Settlement Bill  Bill - government,67-2,RA,26 February 2016,Health Committee
30,Housing Amendment Bill  Bill - government,42-3A,RA,26 February 2016,
31,Housing Corporation (Social Housing Reform) Amendment Bill (No 2)  Bill - government,42-3B,RA,26 February 2016,
32,Housing Restructuring and Tenancy Matters (Social Housing Reform) Amendment Bill (No 2)  Bill - government,42-3C,RA,26 February 2016,
33,Subordinate Legislation Confirmation Bill  Bill - government,28-2,CH,11 December 2015,Regulations Review Committee
34,Subordinate Legislation (Confirmation and Validation) Bill  Bill - government,,RA,11 December 2015,
35,Legislation (Confirmable Instruments) Amendment Bill  Bill - government,,RA,11 December 2015,
36,Support for Children in Hardship Bill  Bill - government,23-2,3,09 December 2015,Social Services Committee
37,Social Security Amendment Bill  Bill - government,23-3A,RA,09 December 2015,
38,Education Amendment Bill  Bill - government,23-3B,RA,09 December 2015,
39,Taxation (Support for Children in Hardship) Bill  Bill - government,23-3C,RA,09 December 2015,
40,Affordable Healthcare Bill  Bill - member's,56-1,W,02 December 2015,
41,Education (Restoration of Democracy to University Councils) Amendment Bill  Bill - member's,74-1,W,02 December 2015,
42,Electricity Transparency Bill  Bill - member's,76-1,W,02 December 2015,
43,Commerce (Supermarket Adjudicator and Code of Conduct) Amendment Bill  Bill - member's,89-1,W,02 December 2015,
44,Waitangi National Trust Board Amendment Bill  Bill - government,169-3,RA,24 November 2015,Māori Affairs Committee
45,Local Government (Auckland Transitional Provisions) Amendment Bill  Bill - government,70-1,RA,24 November 2015,
46,Social Security (Commencement of Benefits) Amendment Bill  Bill - government,72-1,RA,24 November 2015,
47,Returning Offenders (Management and Information) Bill  Bill - government,98-1,RA,20 November 2015,
48,Taxation (Bright-line Test for Residential Land) Bill  Bill - government,59-2,RA,16 November 2015,Finance and Expenditure Committee
49,International Finance Agreements Amendment Bill  Bill - government,61-2,RA,16 November 2015,"Foreign Affairs, Defence and Trade Committee"
0,Electricity Industry (Small-Scale Renewable Distributed Generation) Amendment Bill  Bill - member's,58-1,W,11 November 2015,
1,Social Security (Pathway to Work) Amendment Bill  Bill - member's,64-1,W,11 November 2015,
2,Climate Change (Divestment from Fossil Fuels) Bill  Bill - member's,65-1,W,11 November 2015,
3,Telecommunications (Interception Capability and Security) Amendment Bill  Bill - member's,66-1,W,11 November 2015,
4,Public Health Bill  Bill - government,177-2,2,11 November 2015,Health Committee
5,Organised Crime and Anti-corruption Legislation Bill  Bill - government,219-2,3,06 November 2015,Law and Order Committee
6,Crimes Amendment Bill  Bill - government,219-3A,RA,06 November 2015,
7,Anti-Money Laundering and Countering Financing of Terrorism Amendment Bill  Bill - government,219-3B,RA,06 November 2015,
8,Companies Amendment Bill  Bill - government,219-3C,RA,06 November 2015,
9,Criminal Investigations (Bodily Samples) Amendment Bill  Bill - government,219-3D,RA,06 November 2015,
10,Criminal Proceeds (Recovery) Amendment Bill  Bill - government,219-3E,RA,06 November 2015,
11,Customs and Excise Amendment Bill (No 3)  Bill - government,219-3F,RA,06 November 2015,
12,Extradition Amendment Bill  Bill - government,219-3G,RA,06 November 2015,
13,Financial Service Providers (Registration and Dispute Resolution) Amendment Bill  Bill - government,219-3H,RA,06 November 2015,
14,Financial Transactions Reporting Amendment Bill  Bill - government,219-3I,RA,06 November 2015,
15,Income Tax Amendment Bill  Bill - government,219-3J,RA,06 November 2015,
16,Limited Partnerships Amendment Bill  Bill - government,219-3K,RA,06 November 2015,
17,Misuse of Drugs Amendment Bill  Bill - government,219-3L,RA,06 November 2015,
18,Mutual Assistance in Criminal Matters Amendment Bill  Bill - government,219-3M,RA,06 November 2015,
19,Policing Amendment Bill  Bill - government,219-3N,RA,06 November 2015,
20,Secret Commissions Amendment Bill  Bill - government,219-3O,RA,06 November 2015,
21,Construction Contracts Amendment Bill  Bill - government,97-3,RA,23 October 2015,Commerce Committee
22,New Zealand Superannuation and Retirement Income Amendment Bill  Bill - government,166-3,RA,23 October 2015,Finance and Expenditure Committee
23,Gambling Amendment Bill (No 3)  Bill - government,216-3,RA,23 October 2015,Government Administration Committee
24,Standards and Accreditation Bill  Bill - government,230-3,RA,23 October 2015,Commerce Committee
25,Passports Amendment Bill (No 2)  Bill - government,32-3,RA,23 October 2015,Government Administration Committee
26,Taxation (New Zealand Superannuation and Retirement Income) Bill  Bill - government,166-3A,RA,23 October 2015,
27,Education (Charter Schools Curriculum) Amendment Bill  Bill - member's,49-1,W,14 October 2015,
28,Social Workers Registration (Mandatory Registration) Amendment Bill  Bill - member's,48-1,W,14 October 2015,
29,Environmental Reporting Bill  Bill - government,189-2,RA,29 September 2015,Local Government and Environment Committee
30,Tariff (Free Trade Agreement between New Zealand and the Republic of Korea) Amendment Bill  Bill - government,26-1,RA,29 September 2015,"Foreign Affairs, Defence and Trade Committee"
31,New Zealand Flag Referendums Amendment Bill  Bill - government,69-1,RA,25 September 2015,
32,Accident Compensation (Financial Responsibility and Transparency) Amendment Bill  Bill - government,17-2,RA,24 September 2015,Transport and Industrial Relations Committee
33,Te Hiku Claims Settlement Bill  Bill - government,201-2,3,22 September 2015,Māori Affairs Committee
34,Taxation (Land Information and Offshore Persons Information) Bill  Bill - government,34-2,3,22 September 2015,Finance and Expenditure Committee
35,Ngāti Kuri Claims Settlement Bill  Bill - government,201-3A,RA,22 September 2015,
36,Te Aupouri Claims Settlement Bill  Bill - government,201-3B,RA,22 September 2015,
37,NgāiTakoto Claims Settlement Bill  Bill - government,201-3C,RA,22 September 2015,
38,Te Rarawa Claims Settlement Bill  Bill - government,201-3D,RA,22 September 2015,
39,Reserves and Other Lands Disposal Act 1977 Amendment Bill  Bill - government,201-3F,RA,22 September 2015,
40,Land Transfer Amendment Bill  Bill - government,34-3A,RA,22 September 2015,
41,Tax Administration Amendment Bill  Bill - government,34-3B,RA,22 September 2015,
42,Ngāti Kahu Accumulated Rentals Trust Bill  Bill - government,201-3E,RA,22 September 2015,
43,Reserves and Other Lands Disposal Bill  Bill - government,237-3,RA,22 September 2015,Primary Production Committee
44,New Zealand Superannuation and Retirement Income (Pro Rata Entitlement) Amendment Bill  Bill - member's,40-1,W,16 September 2015,
45,Te Kawerau ā Maki Claims Settlement Bill  Bill - government,198-2,RA,15 September 2015,Māori Affairs Committee
46,Health and Safety Reform Bill  Bill - government,192-2,3,07 September 2015,Transport and Industrial Relations Committee
47,Health and Safety at Work Bill  Bill - government,192-3A,RA,07 September 2015,
48,Accident Compensation Amendment Bill  Bill - government,192-3B,RA,07 September 2015,
49,Hazardous Substances and New Organisms Amendment Bill  Bill - government,192-3C,RA,07 September 2015,
0,Employment Relations Amendment Bill (No 2)  Bill - government,192-3D,RA,07 September 2015,
1,WorkSafe New Zealand Amendment Bill  Bill - government,192-3E,RA,07 September 2015,
2,Sale and Supply of Alcohol (Rugby World Cup 2015 Extended Trading Hours) Amendment Bill  Bill - member's,55-2,RA,31 August 2015,Justice and Electoral Committee
3,Appropriation (2015/16 Estimates) Bill  Bill - government,24-1,RA,24 August 2015,
4,Imprest Supply (Second for 2015/16) Bill  Bill - government,46-1,RA,24 August 2015,
5,Hawke's Bay Regional Planning Committee Bill  Bill - government,202-2,RA,17 August 2015,Māori Affairs Committee
6,New Zealand Flag Referendums Bill  Bill - government,8-2,RA,17 August 2015,Justice and Electoral Committee
7,Local Government Act 2002 (Greater Local Democracy) Amendment Bill  Bill - member's,37-1,W,12 August 2015,
8,Overseas Investment (Owning our Own Rural Land) Amendment Bill  Bill - member's,184-1,W,22 July 2015,
9,New Zealand International Convention Centre Act 2013 Repeal Bill  Bill - member's,12-1,W,22 July 2015,
10,Fighting Foreign Corporate Control Bill  Bill - member's,14-1,W,22 July 2015,
11,Land Transport (Speed Limits Validation and Other Matters) Bill  Bill - government,47-1,RA,22 July 2015,
12,Gambling Amendment Bill (No 2)  Bill - government,131-3,RA,21 July 2015,Government Administration Committee
13,Harmful Digital Communications Bill  Bill - government,168-3,RA,03 July 2015,Justice and Electoral Committee
14,Exclusive Economic Zone and Continental Shelf (Environmental Effects) (Transitional Provisions) Amendment Bill  Bill - government,5-2,RA,25 June 2015,Local Government and Environment Committee
15,Underground Coal Mining Safety Bill  Bill - member's,163-1,W,24 June 2015,
16,Electoral (Adjustment of Thresholds) Amendment Bill  Bill - member's,171-1,W,24 June 2015,
17,SuperGold Health Check Bill  Bill - member's,172-1,W,24 June 2015,
18,"Social Assistance (Portability to Cook Islands, Niue, and Tokelau) Bill  Bill - government",233-2,RA,23 June 2015,Social Services Committee
19,Appropriation (2014/15 Supplementary Estimates) Bill  Bill - government,25-1,RA,23 June 2015,
20,Imprest Supply (First for 2015/16) Bill  Bill - government,33-1,RA,23 June 2015,
21,Marine Mammals Protection Amendment Bill  Bill - government,,RA,12 June 2015,
22,Local Electoral Amendment Bill  Bill - government,,RA,11 June 2015,
23,Social Security (Clothing Allowances for Orphans and Unsupported Children) Amendment Bill  Bill - member's,95-2,RA,05 June 2015,Social Services Committee
24,Christchurch City Council (Rates Validation) Bill  Bill - local,204-1,RA,05 June 2015,Local Government and Environment Committee
25,Arts Centre of Christchurch Trust Bill  Bill - private,220-2,RA,05 June 2015,Local Government and Environment Committee
26,Social Housing Reform (Flexible Purchasing and Remedial Matters) Bill  Bill - government,21-1,3,27 May 2015,
27,Telecommunications (Development Levy) Amendment Bill  Bill - government,20-1,RA,27 May 2015,
28,KiwiSaver Budget Measures Bill  Bill - government,22-1,RA,27 May 2015,
29,Border Processing (Arrivals and Departures) Levy Bill  Bill - government,19-1,3,27 May 2015,
30,Housing Restructuring and Tenancy Matters (Social Housing Reform) Amendment Bill  Bill - government,,RA,27 May 2015,
31,Taxation (Social Housing Reform) Bill  Bill - government,,RA,27 May 2015,
32,Housing Corporation (Social Housing Reform) Amendment Bill  Bill - government,,RA,27 May 2015,
33,KiwiSaver (HomeStart) Amendment Bill  Bill - government,,RA,27 May 2015,
34,Biosecurity Amendment Bill (No 2)  Bill - government,,RA,27 May 2015,
35,Customs and Excise Amendment Bill (No 2)  Bill - government,,RA,27 May 2015,
36,Animal Welfare Amendment Bill  Bill - government,107-3,RA,11 May 2015,Primary Production Committee
37,Immigration Amendment Bill (No 2)  Bill - government,156-3,RA,07 May 2015,Transport and Industrial Relations Committee
38,Appropriation (2013/14 Confirmation and Validation) Bill  Bill - government,4-1,RA,07 May 2015,
39,Social Security Amendment Bill (No 3)  Bill - government,232-2,RA,10 April 2015,Social Services Committee
40,Objectionable Publications and Indecency Legislation Bill  Bill - government,124-1,3,10 April 2015,Justice and Electoral Committee
41,Customs and Excise (Objectionable Publications) Amendment Bill  Bill - government,124-2B,RA,10 April 2015,
42,"Films, Videos, and Publications Classification (Objectionable Publications) Amendment Bill  Bill - government",124-2A,RA,10 April 2015,
43,Crimes (Indecency) Amendment Bill  Bill - government,124-2C,RA,10 April 2015,
44,Accident Compensation (Cover for Mental Injury—Indecency Offences) Amendment Bill  Bill - government,124-2D,RA,10 April 2015,
45,Vulnerable Children (Children’s Worker Safety Checking—Indecency Offence) Amendment Bill  Bill - government,124-2E,RA,10 April 2015,
46,Taxation (KiwiSaver HomeStart and Remedial Matters) Bill  Bill - government,2-3,RA,31 March 2015,Finance and Expenditure Committee
47,Animal Welfare Amendment Bill (No 2)  Bill - government,,RA,26 March 2015,
48,Antarctica (Environmental Protection) Amendment Bill  Bill - government,,RA,26 March 2015,
49,Biosecurity Amendment Bill  Bill - government,,RA,26 March 2015,
0,"Births, Deaths, Marriages, and Relationships Registration Amendment Bill  Bill - government",,RA,26 March 2015,
1,Commodity Levies Amendment Bill  Bill - government,,RA,26 March 2015,
2,Copyright Amendment Bill  Bill - government,,RA,26 March 2015,
3,Forests Amendment Bill  Bill - government,,RA,26 March 2015,
4,Friendly Societies and Credit Unions Amendment Bill  Bill - government,,RA,26 March 2015,
5,Governor-General Amendment Bill  Bill - government,,RA,26 March 2015,
6,Heavy Engineering Research Levy Amendment Bill  Bill - government,,RA,26 March 2015,
7,Judicial Conduct Commissioner and Judicial Conduct Panel Amendment Bill  Bill - government,,RA,26 March 2015,
8,Land Transport Amendment Bill  Bill - government,,RA,26 March 2015,
9,Land Transport Management Amendment Act 2008 Amendment Bill  Bill - government,,RA,26 March 2015,
10,Local Government Act 1974 Amendment Bill  Bill - government,,RA,26 March 2015,
11,Local Government Act 2002 Amendment Bill  Bill - government,,RA,26 March 2015,
12,Local Government (Auckland Council) Amendment Bill  Bill - government,,RA,26 March 2015,
13,Local Government Official Information and Meetings Amendment Bill  Bill - government,,RA,26 March 2015,
14,Misuse of Drugs Amendment Act 1978 Amendment Bill  Bill - government,,RA,26 March 2015,
15,National Animal Identification and Tracing Amendment Bill  Bill - government,,RA,26 March 2015,
16,National Parks Amendment Bill  Bill - government,,RA,26 March 2015,
17,Ngāti Manuhiri Claims Settlement Amendment Bill  Bill - government,,RA,26 March 2015,
18,Official Information Amendment Bill  Bill - government,,RA,26 March 2015,
19,Ombudsmen Amendment Bill  Bill - government,,RA,26 March 2015,
20,Pork Industry Board Amendment Bill  Bill - government,,RA,26 March 2015,
21,Reserves Amendment Bill  Bill - government,,RA,26 March 2015,
22,Sale and Supply of Alcohol Amendment Bill  Bill - government,,RA,26 March 2015,
23,Sentencing Amendment Bill  Bill - government,,RA,26 March 2015,
24,Summary Proceedings Amendment Bill  Bill - government,,RA,26 March 2015,
25,Tariff Amendment Bill  Bill - government,,RA,26 March 2015,
26,Tokelau (Territorial Sea and Exclusive Economic Zone) Amendment Bill  Bill - government,,RA,26 March 2015,
27,Trade in Endangered Species Amendment Bill  Bill - government,,RA,26 March 2015,
28,Remuneration Authority (Members of Parliament Remuneration) Amendment Bill  Bill - government,10-1,RA,19 March 2015,
29,Education (Breakfast and Lunch Programmes in Schools) Amendment Bill  Bill - member's,85-1,W,18 March 2015,
30,Electronic Data Safety Bill  Bill - member's,87-1,W,18 March 2015,
31,Education (Food in Schools) Amendment Bill  Bill - member's,154-1,W,18 March 2015,
32,Healthy Homes Guarantee Bill  Bill - member's,164-1,W,18 March 2015,
33,Land Transport (Safer Alcohol Limits for Driving) Amendment Bill  Bill - member's,155-1,1,17 March 2015,
34,Remuneration Authority Amendment Bill  Bill - government,9-1,1,17 March 2015,
35,Defence Amendment Bill  Bill - government,348-2,2,11 March 2015,"Foreign Affairs, Defence and Trade Committee"
36,Housing Corporation Amendment Bill  Bill - government,282-1,2,09 March 2015,Social Services Committee
37,Spending Cap (People's Veto) Bill  Bill - government,315-1,2,09 March 2015,Finance and Expenditure Committee
38,Parole Amendment Bill  Bill - government,73-2,RA,02 March 2015,Law and Order Committee
39,Manukau City Council (Regulation of Prostitution in Specified Places) Bill  Bill - local,197-1,W,25 February 2015,Local Government and Environment Committee
40,Register of Pecuniary Interests of Judges Bill  Bill - member's,240-1,W,25 February 2015,Justice and Electoral Committee
41,Parental Leave and Employment Protection (Six Months' Paid Leave) Amendment Bill  Bill - member's,13-2,W,25 February 2015,Government Administration Committee
42,"Energy (Fuels, Levies, and References) Amendment Bill  Bill - government",170-2,RA,24 February 2015,Commerce Committee
43,Education Amendment Bill (No 2)  Bill - government,193-3,RA,13 February 2015,Education and Science Committee
44,Ngāti Hauā Claims Settlement Bill  Bill - government,157-2,RA,16 December 2014,Māori Affairs Committee
45,Ngāti Koroki Kahukura Claims Settlement Bill  Bill - government,161-2,RA,16 December 2014,Māori Affairs Committee
46,Public Safety (Public Protection Orders) Bill  Bill - government,68-3,RA,11 December 2014,Justice and Electoral Committee
47,Parole (Extended Supervision Orders) Amendment Bill  Bill - government,195-3,RA,11 December 2014,Law and Order Committee
48,Crimes (Match-fixing) Amendment Bill  Bill - government,203-2,RA,11 December 2014,Law and Order Committee
49,Subordinate Legislation (Confirmation and Validation) Bill (No 3)  Bill - government,218-2,RA,11 December 2014,Regulations Review Committee
0,Countering Terrorist Fighters Legislation Bill  Bill - government,1-2,3,11 December 2014,"Foreign Affairs, Defence and Trade Committee"
1,Passports Amendment Bill  Bill - government,,RA,11 December 2014,
2,Customs and Excise Amendment Bill  Bill - government,,RA,11 December 2014,
3,New Zealand Security Intelligence Service Amendment Bill  Bill - government,,RA,11 December 2014,
4,Sentencing (Protection of Children from Criminal Offending) Amendment Bill  Bill - member's,94-1,W,03 December 2014,Law and Order Committee
5,Therapeutic Products and Medicines Bill  Bill - government,103-1,2,20 November 2014,Government Administration Committee
6,Trade (Safeguard Measures) Bill  Bill - government,294-3,RA,12 November 2014,"Foreign Affairs, Defence and Trade Committee"
7,Employment Relations Amendment Bill  Bill - government,105-3,RA,07 November 2014,Transport and Industrial Relations Committee
8,Auditor Regulation Amendment Bill  Bill - government,180-3A,RA,07 November 2014,
9,Charities Amendment Bill (No 3)  Bill - government,180-3B,RA,07 November 2014,
10,Financial Reporting Amendment Bill  Bill - government,180-3C,RA,07 November 2014,
11,New Zealand Institute of Chartered Accountants Amendment Bill  Bill - government,180-3D,RA,07 November 2014,
12,Local Government Act 2002 Amendment Bill (No 3)  Bill - government,165-3,RA,14 August 2014,Local Government and Environment Committee
13,Parliamentary Privilege Bill  Bill - government,179-2,RA,14 August 2014,Privileges Committee
14,Fisheries (Foreign Charter Vessels and Other Matters) Amendment Bill  Bill - government,75-2,RA,07 August 2014,Primary Production Committee
15,Veterans' Support Bill  Bill - government,158-3,RA,07 August 2014,Social Services Committee
16,Land Transport Amendment Bill  Bill - government,175-3,RA,07 August 2014,Transport and Industrial Relations Committee
17,Kaikōura (Te Tai o Marokura) Marine Management Bill  Bill - government,194-2,,07 August 2014,Local Government and Environment Committee
18,Ngā Mana Whenua o Tāmaki Makaurau Collective Redress Bill  Bill - government,134-3,RA,31 July 2014,Māori Affairs Committee
19,Appropriation (2014/15 Estimates) Bill  Bill - government,212-1,RA,31 July 2014,
20,Imprest Supply (Second for 2014/15) Bill  Bill - government,229-01,RA,31 July 2014,
21,Te Urewera-Tuhoe Bill  Bill - government,146-2,3,28 July 2014,Māori Affairs Committee
22,Summary Offences (Possession of High-power Laser Pointers) Amendment Bill  Bill - member's,88-2,RA,28 July 2014,
23,Tūhoe Claims Settlement Bill  Bill - government,146-3A,RA,28 July 2014,
24,Te Urewera Bill  Bill - government,146-3B,RA,28 July 2014,
25,Companies and Limited Partnerships Amendment Bill  Bill - government,344-2,3,02 July 2014,Commerce Committee
26,Companies Amendment Bill (No 4)  Bill - government,344-3A,RA,02 July 2014,
27,Limited Partnerships Amendment Bill (No 2)  Bill - government,344-3B,RA,02 July 2014,
28,West Coast Wind-blown Timber (Conservation Lands) Bill  Bill - government,223-1,RA,02 July 2014,
29,Victims' Orders Against Violent Offenders Bill  Bill - government,126-3,RA,01 July 2014,Law and Order Committee
30,Vulnerable Children Bill  Bill - government,150-3,RA,01 July 2014,Social Services Committee
31,"Taxation (Annual Rates, Employee Allowances, and Remedial Matters) Bill  Bill - government",176-3,RA,01 July 2014,Finance and Expenditure Committee
32,Appropriation (2013/14 Supplementary Estimates) Bill  Bill - government,215-1,RA,01 July 2014,
33,"Children, Young Persons, and Their Families (Vulnerable Children) Amendment Bill  Bill - government",150-3A,RA,01 July 2014,
34,Imprest Supply (First for 2014/15) Bill  Bill - government,221-1,RA,01 July 2014,
35,KiwiSaver (Vulnerable Children) Amendment Bill  Bill - government,,RA,30 June 2014,
36,"Children, Young Persons, and Their Families Amendment Bill (No 4)  Bill - government",319-3B,RA,23 June 2014,
37,Parole Amendment Bill (No 2)  Bill - government,319-3C,RA,23 June 2014,
38,Sentencing Amendment Bill (No 2)  Bill - government,319-3D,RA,23 June 2014,
39,Food Bill  Bill - government,160-3,RA,11 June 2014,Primary Production Committee
40,New Zealand Mission Trust Board (Otamataha) Empowering Bill  Bill - private,148-2,RA,10 June 2014,Māori Affairs Committee
41,Victims' Rights Amendment Bill  Bill - government,319-3A,RA,10 June 2014,
42,Financial Service Providers (Registration and Dispute Resolution) Amendment Bill  Bill - government,104-3B,RA,10 June 2014,
43,Credit Contracts and Consumer Finance Amendment Bill  Bill - government,104-3A,RA,09 June 2014,
44,Summary Offences (Possession of Hand-held Lasers) Amendment Bill  Bill - member's,88-2,,28 May 2014,Transport and Industrial Relations Committee
45,Credit Contracts and Financial Services Law Reform Bill  Bill - government,104-2,3,27 May 2014,Commerce Committee
46,Heritage New Zealand Pouhere Taonga Bill  Bill - government,327-2,RA,19 May 2014,Local Government and Environment Committee
47,Parental Leave and Employment Protection Amendment Bill (No 2)  Bill - government,211-2A,RA,19 May 2014,
48,Taxation (Parental Tax Credit) Bill  Bill - government,211-2B,RA,19 May 2014,
49,Cheque Duty Repeal Bill  Bill - government,214-2A,RA,19 May 2014,
0,Climate Change Response (Unit Restriction) Amendment Bill  Bill - government,214-2B,RA,19 May 2014,
1,Dumping and Countervailing Duties Amendment Bill (No 2)  Bill - government,214-2C,RA,19 May 2014,
2,Budget Measures (Financial Support for Newborn Children) Bill  Bill - government,211-1,3,16 May 2014,
3,Budget Measures (Miscellaneous Fiscal Matters) Bill  Bill - government,214-1,3,16 May 2014,
4,Electronic Transactions (Contract Formation) Amendment Bill  Bill - member's,82-2,RA,09 May 2014,Commerce Committee
5,Resource Management (Restricted Duration of Certain Discharge and Coastal Permits) Amendment Bill  Bill - member's,36-1,W,07 May 2014,Local Government and Environment Committee
6,Psychoactive Substances Amendment Bill  Bill - government,206-1,RA,07 May 2014,
